SampleID	height	tiller	wetWeight
B4011Hb	72	14	62.67
B4011Hc	82	14	53.44
B4011Hd	78	20	87.65
B4011He	83	14	70.21
B4011Hf	76	14	55.29
B4012Ha	73	25	95.85
B4012Hb	66	29	110.3
B4012Hc	64	25	76.73
B4012Hd	72	25	105.48
B4012He	68	21	71.84
B4012Hf	71	18	56.8
B4013Ha	77	22	74.31
B4013Hb	73	31	107.98
B4013Hc	66	23	56.33
B4013Hd	78	22	95.16
B4013He	76	25	84.04
B4013Hf	72	25	85.58
B4014Ha	84	26	115.84
B4014Hb	70	18	62.52
B4014Hc	70	24	66.88
B4014Hd	60	22	59.38
B4015Ha	72	28	68.25
B4015Hb	71	27	80.96
B4015Hc	77	26	81.08
B4015Hd	70	36	109.57
B4015He	74	30	99.35
B4015Hf	73	27	90.45
B4016Ha	57	20	57.96
B4016Hb	68	23	68.14
B4016Hc	71	19	50.24
B4016Hd	67	16	39.11
B4016He	66	30	80.14
B4016Hf	69	19	36.75
B4018Ha	81	42	130.52
B4018Hb	82	29	69.16
B4018Hc	81	31	76.87
B4018Hd	84	21	57.54
B4018He	79	36	100.42
B4018Hf	79	36	103.13
B4019Ha	70	31	102.45
B4019Hb	56	16	29.96
B4019Hc	50	13	16.32
B4019Hd	53	18	23.14
C4023Ha	58	33	75.45
C4023Hb	66	35	102.47
C4023Hc	63	46	114.86
C4023Hd	62	23	53.98
C4023He	70	28	76.09
C4023Hf	59	24	48.38
C4024Ha	83	31	119.8
C4024Hb	77	31	108.39
C4024Hc	76	29	105.81
C4024Hd	87	34	132
C4024He	89	33	152.12
C4024Hf	87	21	105.03
C4025Ha	73	34	130.15
C4025Hb	68	23	57.85
C4025Hc	70	30	95.3
C4025Hd	68	36	135.53
C4025He	65	30	90.12
C4025Hf	61	28	74.47
C4026Ha	69	21	49.29
C4026Hb	65	17	41.91
C4026Hc	64	22	55.24
C4026Hd	67	19	37.01
C4026He	62	19	44.16
C4026Hf	57	12	23.25
C4028Ha	73	29	80.92
C4028Hb	73	20	60.21
C4028Hc	75	25	73.55
C4028Hd	73	24	75
C4028He	77	19	80.1
C4028Hf	73	25	85.5
C4029Ha	58	17	29.49
C4029Hb	72	31	97.71
C4029Hc	58	23	49.26
C4029Hd	61	12	22.58
C4029He	67	24	59.75
C4029Hf	64	21	46.35
C4030Ha	83	17	69.95
C4030Hb	87	19	75.29
C4030Hc	74	19	61.15
C4030Hd	85	21	69.49
C4030He	79	15	52.15
C4030Hf	79	18	48.93
D4031Ha	83	16	55.53
D4031Hb	84	18	74.81
D4031Hc	92	15	65.55
D4031Hd	87	20	71.2
D4031He	76	29	67.71
D4031Hf	75	23	79.2
D4033Ha	85	20	72.2
D4033Hb	80	14	66.84
D4033Hc	82	20	63.5
D4033Hd	83	11	41.64
D4033He	80	19	69.18
D4033Hf	78	17	221.45
D4034Ha	62	36	84.7
D4034Hb	66	32	81.52
D4034Hc	63	42	98.24
D4034Hd	59	40	96.14
